행정동명,통합카테고리,수요공급격차_log,예측수요점유율,현재공급점유율,점포수,카드업종코드,매핑수준,예측기준년월,예측대상년월,공급기준분기,선택모델,검증통과,수요공급점수
팔탄면,가구 소매,1.2429408164504663,0.11108550255713205,0.03205128205128205,5,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,100.0
송산면,가구 소매,1.1255313126804172,0.0395130285465008,0.01282051282051282,2,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,95.65217391304348
남양읍,가구 소매,1.0489640432492073,0.14639632894821372,0.05128205128205128,8,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,91.30434782608695
양감면,가구 소매,0.8871979959850217,0.015567556256246968,0.00641025641025641,1,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,86.95652173913044
매송면,가구 소매,0.6847714793579139,0.012714563796231173,0.00641025641025641,1,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,82.6086956521739
동탄7동,가구 소매,0.6812455652075391,0.012669808757490719,0.00641025641025641,1,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,78.26086956521739
우정읍,가구 소매,0.4697301071112393,0.030761415416863586,0.019230769230769232,3,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,73.91304347826086
비봉면,가구 소매,0.299184213055815,0.03458388874352912,0.02564102564102564,4,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,69.56521739130434
화산동,가구 소매,0.2528601874750486,0.024763811303395347,0.019230769230769232,3,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,65.21739130434783
정남면,가구 소매,0.23479528832106328,0.048640643635912056,0.038461538461538464,6,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,60.86956521739131
병점1동,가구 소매,0.1620397023903008,0.02261377065134968,0.019230769230769232,3,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,56.52173913043478
동탄4동,가구 소매,0.14499364749590243,0.00741061902290116,0.00641025641025641,1,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,52.17391304347826
동탄1동,가구 소매,-0.10052114637193509,0.028985993729802758,0.03205128205128205,5,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,47.82608695652174
진안동,가구 소매,-0.1464998680682805,0.055366905154538,0.0641025641025641,10,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,43.47826086956522
동탄2동,가구 소매,-0.18984367138131011,0.005301675943728404,0.00641025641025641,1,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,39.130434782608695
장안면,가구 소매,-0.19735909775375984,0.026310583669556457,0.03205128205128205,5,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,34.78260869565217
동탄5동,가구 소매,-0.38886710705525923,0.030414872662239117,0.04487179487179487,7,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,30.434782608695656
기배동,가구 소매,-0.6326937567821842,0.01702385996760536,0.03205128205128205,5,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,26.08695652173913
봉담읍,가구 소매,-0.7299087777893594,0.15138214023525817,0.3141025641025641,49,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,21.73913043478261
병점2동,가구 소매,-0.8633154114910784,0.005406619825658018,0.01282051282051282,2,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,17.391304347826086
동탄3동,가구 소매,-0.8659544500993837,0.013481788331082755,0.03205128205128205,5,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,13.043478260869565
반월동,가구 소매,-1.3255317227789136,0.0255436563510223,0.09615384615384616,15,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,8.695652173913043
동탄6동,가구 소매,-1.5519029902403731,0.01901089344090533,0.08974358974358974,14,D10,중분류 직접 대응,202506,202507,20254,rolling_mean_blend,True,4.3478260869565215
