행정동명,통합카테고리,기준_년분기_코드,점포수,개업_율_평균,폐업_률_평균,업종_포화도,경쟁강도,개업_율_보정,개업_보정_매칭률,개업_율_보정_ma4,폐업_률_ma4
기배동,가구 소매,20211,6,0.0,0.0,0.0149,66.0,,,,
기배동,가구 소매,20212,7,0.1666666666666666,0.0,0.0173,56.7143,0.1667,0.0,,
기배동,가구 소매,20213,7,0.0,0.0,0.017,57.8571,0.0,,,
기배동,가구 소매,20214,7,0.0,0.0,0.0169,58.0,0.0,,,0.0
기배동,가구 소매,20221,7,0.0,0.0,0.0165,59.7143,0.0,,0.0417,0.0
기배동,가구 소매,20222,7,0.0,0.0,0.0159,61.8571,0.0,,0.0,0.0
기배동,가구 소매,20223,7,0.0,0.0,0.0155,63.5714,0.0,,0.0,0.0
기배동,가구 소매,20224,7,0.0,0.0,0.0157,62.5714,0.0,,0.0,0.0
기배동,가구 소매,20231,7,0.0,0.0,0.0154,64.1429,0.0,,0.0,0.0
기배동,가구 소매,20232,7,0.0,0.0,0.0152,64.8571,0.0,,0.0,0.0
기배동,가구 소매,20233,7,0.0,0.0,0.0154,64.1429,0.0,,0.0,0.0
기배동,가구 소매,20234,7,0.0,0.0,0.0153,64.4286,0.0,,0.0,0.0
기배동,가구 소매,20241,7,0.0,0.0,0.0154,64.0,0.0,,0.0,0.0
기배동,가구 소매,20242,7,0.0,0.0,0.0155,63.7143,0.0,,0.0,0.0
기배동,가구 소매,20243,6,0.0,0.1428571428571428,0.0135,72.8333,0.0,,0.0,0.0357
기배동,가구 소매,20244,5,0.0,0.1666666666666666,0.0104,95.4,0.0,,0.0,0.0774
기배동,가구 소매,20251,5,0.0,0.0,0.0108,91.8,0.0,,0.0,0.0774
기배동,가구 소매,20252,5,0.0,0.0,0.0108,92.0,0.0,,0.0,0.0774
기배동,가구 소매,20253,5,0.0,0.0,0.0114,86.8,0.0,,0.0,0.0417
기배동,가구 소매,20254,5,0.0,0.0,0.0113,87.8,0.0,,0.0,0.0
기배동,가전·통신 소매,20211,8,0.0,0.0,0.0199,49.25,,,,
기배동,가전·통신 소매,20212,8,0.0,0.0,0.0198,49.5,0.0,,,
기배동,가전·통신 소매,20213,8,0.0,0.0,0.0194,50.5,0.0,,,
기배동,가전·통신 소매,20214,8,0.0,0.0,0.0194,50.625,0.0,,,0.0
기배동,가전·통신 소매,20221,8,0.0,0.0,0.0188,52.125,0.0,,0.0,0.0
기배동,가전·통신 소매,20222,8,0.0,0.0,0.0182,54.0,0.0,,0.0,0.0
기배동,가전·통신 소매,20223,8,0.0,0.0,0.0177,55.5,0.0,,0.0,0.0
기배동,가전·통신 소매,20224,8,0.0,0.0,0.018,54.625,0.0,,0.0,0.0
기배동,가전·통신 소매,20231,10,0.25,0.0,0.0219,44.6,0.125,0.0,0.0312,0.0
기배동,가전·통신 소매,20232,10,0.0,0.0,0.0217,45.1,0.0,,0.0312,0.0
기배동,가전·통신 소매,20233,10,0.0,0.0,0.0219,44.6,0.0,,0.0312,0.0
기배동,가전·통신 소매,20234,9,0.0,0.1,0.0197,49.8889,0.0,,0.0312,0.025
기배동,가전·통신 소매,20241,9,0.0,0.0,0.0198,49.5556,0.0,,0.0,0.025
기배동,가전·통신 소매,20242,9,0.0,0.0,0.0199,49.3333,0.0,,0.0,0.025
기배동,가전·통신 소매,20243,9,0.0,0.0,0.0203,48.2222,0.0,,0.0,0.025
