대분류명,중분류명,점포수
과학·기술,광고,10348
과학·기술,기술 서비스,21335
과학·기술,기타 전문 과학,1553
과학·기술,법무관련 ,3174
과학·기술,본사·경영 컨설팅,18231
과학·기술,사진 촬영,4082
과학·기술,수의,1492
과학·기술,시장 조사,167
과학·기술,인쇄·제품제작,5009
과학·기술,전문 디자인,13202
과학·기술,회계·세무,5148
교육,교육 지원,3508
교육,기타 교육,44218
교육,일반 교육,36276
보건의료,기타 보건,1050
보건의료,병원,854
보건의료,의원,16757
부동산,부동산 서비스,58097
소매,가구 소매,3619
소매,가전·통신 소매,9903
소매,기타 상품 소매,3426
소매,기타 생활용품 소매,5781
소매,담배 소매,1182
소매,모터사이클 소매,517
소매,섬유·의복·신발 소매,26351
소매,시계·귀금속 소매,1634
소매,식료품 소매,24901
소매,식물 소매,6130
소매,안경·정밀기기 소매,3202
소매,애완동물·용품 소매,4312
소매,연료 소매,8775
소매,오락용품 소매,13252
소매,음료 소매,837
소매,의약·화장품 소매,14471
소매,자동차 부품 소매,4903
소매,장식품 소매,1905
소매,종합 소매,45901
소매,중고 상품 소매,3524
소매,철물·건설자재 소매,8445
수리·개인,가전제품 수리,4247
수리·개인,기타 가정용품 수리,3632
수리·개인,기타 개인,298
수리·개인,모터사이클 수리,636
수리·개인,세탁,7538
수리·개인,욕탕·신체관리,5429
수리·개인,이용·미용,47659
수리·개인,자동차 수리·세차,23078
수리·개인,장례식장 ,955
수리·개인,컴퓨터 수리,2405
수리·개인,통신장비 수리,679
숙박,기타 숙박,1549
숙박,일반 숙박,7268
시설관리·임대,가정용품 대여,2253
시설관리·임대,고용 알선,8808
시설관리·임대,기타 사업 서비스,3824
시설관리·임대,사무 지원,710
시설관리·임대,산업용품 대여,4504
시설관리·임대,시설관리,2482
시설관리·임대,여행사·보조,1762
시설관리·임대,운송장비 대여,2122
시설관리·임대,조경·유지,597
시설관리·임대,청소·방제,8830
예술·스포츠,도서관·사적지,3812
예술·스포츠,스포츠 서비스,17895
예술·스포츠,유원지·오락,18545
음식,구내식당·뷔페,12695
음식,기타 간이,51996
음식,동남아시아,3069
음식,비알코올 ,37263
음식,서양식,6323
음식,일식,8046
음식,주점,21703
음식,중식,10279
음식,한식,102672
