행정동명,통합카테고리,기준_년분기_코드,성장확률,등급,업종내_순위,업종내_전체동수,상위_퍼센트
기배동,가구 소매,20254,93.2,C,21,24,87.5
기배동,가전·통신 소매,20254,89.7,D,17,29,58.6
기배동,가전제품 수리,20254,94.5,C,25,27,92.6
기배동,가정용품 대여,20254,95.7,B,15,26,57.7
기배동,고용 알선,20254,90.4,D,11,26,42.3
기배동,광고,20254,96.4,B,19,28,67.9
기배동,교육 지원,20254,95.7,B,16,28,57.1
기배동,구내식당·뷔페,20254,84.6,D,18,27,66.7
기배동,기술 서비스,20254,96.9,A,23,28,82.1
기배동,기타 간이,20254,89.4,D,16,29,55.2
기배동,기타 개인,20254,94.0,C,10,11,90.9
기배동,기타 교육,20254,93.7,C,19,29,65.5
기배동,기타 보건,20254,95.7,B,9,19,47.4
기배동,기타 사업 서비스,20254,95.7,B,19,26,73.1
기배동,기타 상품 소매,20254,95.7,B,19,29,65.5
기배동,기타 생활용품 소매,20254,95.9,B,27,28,96.4
기배동,도서관·사적지,20254,95.7,B,11,23,47.8
기배동,본사·경영 컨설팅,20254,95.0,C,22,29,75.9
기배동,부동산 서비스,20254,92.5,D,25,29,86.2
기배동,비알코올 ,20254,90.9,D,9,29,31.0
기배동,사진 촬영,20254,95.7,B,16,27,59.3
기배동,산업용품 대여,20254,96.6,B,24,25,96.0
기배동,서양식,20254,89.1,D,17,29,58.6
기배동,섬유·의복·신발 소매,20254,91.6,D,19,29,65.5
기배동,세탁,20254,93.4,C,23,28,82.1
기배동,스포츠 서비스,20254,89.7,D,20,29,69.0
기배동,시설관리,20254,95.7,B,17,26,65.4
기배동,식료품 소매,20254,90.0,D,16,29,55.2
기배동,식물 소매,20254,94.5,C,16,28,57.1
기배동,안경·정밀기기 소매,20254,94.4,C,21,25,84.0
기배동,애완동물·용품 소매,20254,93.8,C,27,29,93.1
기배동,여행사·보조,20254,95.7,B,14,21,66.7
기배동,연료 소매,20254,92.7,C,23,24,95.8
기배동,오락용품 소매,20254,94.2,C,26,29,89.7
기배동,욕탕·신체관리,20254,86.9,D,11,26,42.3
기배동,운송장비 대여,20254,95.7,B,16,23,69.6
기배동,유원지·오락,20254,90.0,D,12,29,41.4
기배동,음료 소매,20254,95.7,B,11,18,61.1
기배동,의약·화장품 소매,20254,91.4,D,21,29,72.4
기배동,의원,20254,97.0,A,24,26,92.3
기배동,이용·미용,20254,95.8,B,13,29,44.8
기배동,인쇄·제품제작,20254,94.5,C,27,27,100.0
기배동,일반 교육,20254,96.3,B,13,28,46.4
기배동,자동차 부품 소매,20254,95.9,B,24,24,100.0
기배동,자동차 수리·세차,20254,95.3,C,25,28,89.3
기배동,전문 디자인,20254,93.6,C,25,29,86.2
기배동,종합 소매,20254,89.5,D,19,29,65.5
기배동,주점,20254,89.2,D,10,28,35.7
기배동,중고 상품 소매,20254,95.7,B,17,23,73.9
기배동,중식,20254,90.4,D,13,29,44.8
기배동,철물·건설자재 소매,20254,96.5,B,27,28,96.4
기배동,청소·방제,20254,91.9,D,19,28,67.9
기배동,컴퓨터 수리,20254,95.7,B,12,22,54.5
기배동,한식,20254,88.5,D,24,29,82.8
남양읍,가구 소매,20254,94.8,C,14,24,58.3
남양읍,가전·통신 소매,20254,91.4,D,14,29,48.3
남양읍,가전제품 수리,20254,95.8,B,17,27,63.0
남양읍,가정용품 대여,20254,96.3,B,13,26,50.0
남양읍,고용 알선,20254,87.4,D,23,26,88.5
남양읍,광고,20254,96.4,B,19,28,67.9
남양읍,교육 지원,20254,96.3,B,12,28,42.9
남양읍,구내식당·뷔페,20254,85.4,D,13,27,48.1
남양읍,기술 서비스,20254,98.0,A,12,28,42.9
남양읍,기타 가정용품 수리,20254,96.0,B,14,28,50.0
남양읍,기타 간이,20254,90.8,D,10,29,34.5
남양읍,기타 교육,20254,95.4,C,13,29,44.8
남양읍,기타 보건,20254,96.2,B,8,19,42.1
남양읍,기타 사업 서비스,20254,96.2,B,17,26,65.4
남양읍,기타 상품 소매,20254,95.8,B,17,29,58.6
남양읍,기타 생활용품 소매,20254,97.1,A,15,28,53.6
남양읍,기타 숙박,20254,96.0,B,7,12,58.3
남양읍,기타 전문 과학,20254,96.2,B,10,19,52.6
남양읍,담배 소매,20254,95.9,B,10,17,58.8
남양읍,도서관·사적지,20254,96.2,B,7,23,30.4
남양읍,동남아시아,20254,92.5,D,10,22,45.5
남양읍,모터사이클 소매,20254,96.0,B,10,14,71.4
남양읍,모터사이클 수리,20254,96.4,B,9,17,52.9
남양읍,법무관련 ,20254,96.4,B,9,21,42.9
남양읍,병원,20254,96.1,B,13,22,59.1
남양읍,본사·경영 컨설팅,20254,94.7,C,24,29,82.8
남양읍,부동산 서비스,20254,94.2,C,14,29,48.3
남양읍,비알코올 ,20254,90.2,D,13,29,44.8
남양읍,사무 지원,20254,96.1,B,11,17,64.7
남양읍,사진 촬영,20254,96.0,B,14,27,51.9
남양읍,산업용품 대여,20254,97.1,A,16,25,64.0
남양읍,서양식,20254,91.8,D,3,29,10.3
남양읍,섬유·의복·신발 소매,20254,92.3,D,16,29,55.2
남양읍,세탁,20254,96.0,B,6,28,21.4
남양읍,수의,20254,95.9,B,10,19,52.6
남양읍,스포츠 서비스,20254,89.3,D,22,29,75.9
남양읍,시계·귀금속 소매,20254,96.4,B,6,19,31.6
남양읍,시설관리,20254,96.3,B,12,26,46.2
남양읍,식료품 소매,20254,89.7,D,18,29,62.1
남양읍,식물 소매,20254,95.2,C,13,28,46.4
남양읍,안경·정밀기기 소매,20254,96.5,B,6,25,24.0
남양읍,애완동물·용품 소매,20254,96.3,B,11,29,37.9
남양읍,여행사·보조,20254,95.8,B,13,21,61.9
남양읍,연료 소매,20254,91.6,D,24,24,100.0
남양읍,오락용품 소매,20254,95.8,B,15,29,51.7
남양읍,욕탕·신체관리,20254,87.8,D,4,26,15.4
남양읍,운송장비 대여,20254,96.1,B,14,23,60.9
남양읍,유원지·오락,20254,88.1,D,20,29,69.0
남양읍,음료 소매,20254,95.9,B,10,18,55.6
남양읍,의약·화장품 소매,20254,94.1,C,12,29,41.4
남양읍,의원,20254,98.0,A,18,26,69.2
남양읍,이용·미용,20254,95.4,C,17,29,58.6
남양읍,인쇄·제품제작,20254,97.0,A,9,27,33.3
남양읍,일반 교육,20254,96.6,B,11,28,39.3
남양읍,일반 숙박,20254,95.6,B,13,22,59.1
남양읍,일식,20254,93.0,C,3,26,11.5
남양읍,자동차 부품 소매,20254,97.0,A,20,24,83.3
남양읍,자동차 수리·세차,20254,96.0,B,20,28,71.4
남양읍,장례식장 ,20254,96.2,B,9,17,52.9
남양읍,장식품 소매,20254,97.4,A,4,24,16.7
남양읍,전문 디자인,20254,95.7,B,9,29,31.0
남양읍,조경·유지,20254,97.4,A,3,18,16.7
남양읍,종합 소매,20254,91.2,D,15,29,51.7
남양읍,주점,20254,88.0,D,18,28,64.3
남양읍,중고 상품 소매,20254,96.1,B,14,23,60.9
남양읍,중식,20254,90.2,D,14,29,48.3
남양읍,철물·건설자재 소매,20254,98.0,A,15,28,53.6
남양읍,청소·방제,20254,94.6,C,12,28,42.9
남양읍,컴퓨터 수리,20254,95.7,B,12,22,54.5
남양읍,통신장비 수리,20254,96.1,B,8,14,57.1
남양읍,한식,20254,90.4,D,15,29,51.7
남양읍,회계·세무,20254,97.5,A,12,24,50.0
동탄1동,가구 소매,20254,94.0,C,18,24,75.0
동탄1동,가전·통신 소매,20254,87.1,D,23,29,79.3
동탄1동,가전제품 수리,20254,96.0,B,16,27,59.3
동탄1동,가정용품 대여,20254,95.4,C,17,26,65.4
동탄1동,고용 알선,20254,89.0,D,20,26,76.9
동탄1동,광고,20254,94.9,C,27,28,96.4
동탄1동,교육 지원,20254,93.2,C,28,28,100.0
